boj,rating1,cp,rating2
kyaryunha,1762,SHIN_Hyun,1662
zoflqldks123,1762,zoflqldks123,1010
hacastle,1761,hacastle,1407
haejun0317,1761,haejun0317,1369
han030425,1761,HanEG,0
leeju1013,1761,jieun1013,864
sivcde0405,1761,cygnus_330,1587
versatile0010,1761,versatile_lee,0
isl0827,1760,isl0827,1006
tph01198,1760,fiveIsDoor,1200
hllee1021,1759,coding_baby,1617
iron1209,1759,decemberok,1329
axa1239,1758,mmmma,1045
wjh51333,1758,wjh51333,1140
112ckek,1756,112ckek,1404
rollrat,1756,rollrat,0
sjy9484,1756,hambp,1210
wlgus38,1756,jyunpp,1474
yjw1029,1756,yjw1029,0
changi1122,1755,changi1122,1373
hyenje29,1755,hyenje29,1136
yopark,1755,yopark,0
yuu3730,1755,yuseugeu,1481
dnjsqo_92,1754,SuperstringTheory,798
taerim0,1754,forest0,742
1hoon,1753,1hoon,1931
acebroad,1753,Sihadan,1490
boulce,1752,boulce,1303
moonsoo5522,1751,moonsoo5522,1495
tnqkr98,1751,tnqkr98,0
bluesquanium,1750,bluesquanium,2106
dlwhdgh98,1750,leejongho9803,405
nosiar,1750,nosiar,0
chrisais9,1749,Koohyongmo,0
qjrmsktso2,1749,semteo,2166
junlee1216,1748,Natagod,1369
nbalance,1748,bhleeeee,0
ssyth19,1747,Doppa,1419
1717197,1746,sage710,0
betain24,1745,betain24,1386
dndkwk,1745,dndkwk,610
khrbuddy03,1745,khr.buddy03,1548
leesj0531,1744,leesj0531,647
poohbilly2,1744,SkeletonK,1608
alex01,1743,alex0101,1980
eunoia_hr,1743,loverhdiddl,1415
hdm0922,1743,hdm0922,1335
umrhiumrhi,1743,umrhiumrhi,1237
arduinocc04,1742,arduinocc04,1244
bomin5957,1742,bomin5957,1249
minsu_choi,1742,minsu_choi,1141
mitslll,1742,mitslll,1611
rumble99,1742,taylous,1371
usj08,1742,usj08,1268
chminoo,1741,chminoo,0
dndlftls,1740,dndlftls,0
jh01love,1740,Cycrypt0,0
rsual,1740,Veldic,1361
dnfl182,1739,chickening_,1491
joeyvalentine,1739,Joey,1398
lvhi0607,1739,Hamsik2rang,1206
nolimit1111,1739,limitbreak,0
ishs281214,1737,darbin_lee,0
rangsuk,1737,Seokwoo,1441
wildvine09,1737,MidZ595,1451
hdh4952,1736,hdh4952,1098
godong10208,1735,kdhzoot,0
kangsw8940,1735,sangwoo0727,1314
ksq111,1734,ksq11177,1399
mines213,1734,mines213,1188
hu3123ss,1732,ParkSH,0
kimyh0316,1732,Dani_el,0
roy752,1732,BSHand,1248
j3sung,1731,wptjd6141,1428
kangrnin,1731,kangrnin,1335
moonhi123,1731,moonhi123,1042
veydpz,1731,seungwon,1782
eksrks0310,1730,kasyu,1332
gidskql6671,1730,gidskql,1440
meantint,1730,Meantint,828
hg9587,1729,Einstrasse,1726
liveinpeace,1729,liveinpeace,383
rnjsrnrdnjs,1729,090x,1404
staphaniek,1728,staphaniek,1554
vng598,1728,wildDoubt,1129
wogh6475,1728,lemphis,634
code_thanos,1727,thanos1,0
h9661,1727,LaLaLaLaLo,896
kjmin622,1727,kjmin622,1225
emuyumi,1726,uwu,2572
inhoj123,1726,inhojang142,0
9967han,1725,AKMU,1115
c9boom7,1725,C9Boom7,1256
dldydrhkd,1725,Volc,1098
hichoe95,1723,hichoe95,1465
limeojin363,1723,pear363,1054
bgjun0204,1722,bgjun0204,0
lej970703,1722,dleunji,780
mulebanga,1722,mulebanga,1048
portal3046,1722,portal3046,1680
ygh0410,1722,ygh0410,1395
k94earth,1721,earthk,1424
lmklove0,1721,kaki1013,1303
robin00q,1721,umjunsik,1536
tomas3630,1721,parkeunhyeok,0
thproject,1720,HakkaAme,1096
chaeaok,1719,jmkimmessi,0
daki404,1719,Daki404,645
wontpy20,1719,Pongkijoa,629
ghssh1,1718,ghssh,1442
blessmealways00,1716,h5jam,1274
icefalls,1716,icefalls,1238
kimgiho850416,1716,kimgiHO850416,769
kyw6541,1716,ASPrime,1224
veev13,1715,rrryyyuuu,1365
483759,1714,2wls,444
alperatz,1714,Zombine,1684
jinsu6628,1714,jinsu6628,0
7hseggi,1713,7hseggi,811
dcherish,1713,dcherish,0
astein,1712,Astein,2329
eytns,1712,eyTns,1673
jahy5352,1712,n3n4,1143
park03851,1712,park03851,1264
seolminsik,1712,seolminsik,883
jdown,1711,jdown,1449
pjjkey,1711,wimpywimp,0
kcj3054,1710,kcj1122,763
pkiop,1710,pkiop,1120
wkdeogks17,1710,wkdeogks17,0
bbyu,1709,bbyu,1601
eldkqmfhf123,1709,eldkqmfhf123,1685
gsmin2020,1709,dadukei,816
hygoni,1709,hygoni,1259
melonboy,1709,minboy,0
rarity,1709,rarity,735
tjdlfgns1234,1709,CrimsonRaptor,1254
hodduc,1708,hodduc,1918
na0173,1708,josajang98,0
tlsdorye,1708,tlsdorye,1392
doxxx93,1707,doxxx93,977
lkyeon328,1707,iiiiiisly,1310
kano2812,1706,parkbony,445
rlarlghks970113,1706,rlarlghks970113,1422
usj0119,1706,you2lyou2,1301
zeikar,1706,zeikar,1557
applebuddy,1705,applebuddy,0
dangdangbase,1705,dangdangbase,1299
thesmartist,1705,DoubleDeltas,671
hydthemoon,1704,hydthemoon,1615
wldnjs3690,1704,Urasion,0
zbqdl,1704,yholics32,1724
frtfrt1,1703,frtfrt1,0
isthisirooooooooony,1703,isthisiroooooooony,0
jihun333,1703,jihun333,0
js_328,1703,Jaster25,0
chaemh2013,1702,chaemh2013,0
jekwan,1701,jekwan,1095
aju540,1699,horizonsky,0
junchoi,1699,jychoi,1057
jungwoo5759,1699,jungwoo5759,1244
ye1111k,1699,ye1111k,1031
expect017,1698,Tigersden,1558
kimsj0302,1698,kira1302,1624
rt3310,1698,rt3310,370
junushabi123,1697,junushabi123,1220
maxkjh,1697,NuGuRi,0
bjybaek,1696,geeyehappy,1441
waninoko,1696,waninoko,1245
daddy0h,1695,daddy0h,0
gotkddnjs,1695,sangwon,808
jkroll87,1695,jkroll87,1504
joon8409,1695,Myeongjoon,1050
wls4845,1695,meaningood,932
shs395,1694,uzzam,1023
ch512hj,1693,Rustiebeats,1412
creeper0809,1693,creeper0809,649
dongwook,1693,Dongwook,0
imearth01,1693,juLeena,1442
jaq0424,1693,dashwood,1138
leehun456,1693,happyhour,854
rhks7410dyd,1693,Minpepha,0
yeongjujeong1021,1692,yeongjujeong1021,0
3846chs,1691,3846chs,1428
jdhanjin,1691,jdhanjin,1435
fksk94,1690,guading,1450
gm27376,1690,gm27376,1022
rohsikdak,1690,rohsikdak,864
ybin108,1690,ybin108,704
april338,1689,Blue_shell,0
csewook17,1689,KimHyunWook,0
gusgh3315,1689,shininghyunho,965
san9580,1688,waterfog9580,0
hp3265,1687,YSY2,1150
kimmulgae,1687,kimmulgae,663
tjddlf,1687,Yujin01,1031
ca00229,1686,caooeep,1654
felis,1686,felis,1212
hellominchan,1686,hellominchan,968
aresgod,1685,RaidenEi,1806
awj1204,1685,awj1204,0
cjhprogramming,1685,cjhprogramming,0
dlwowlsgod,1685,dlwowlsgod,0
hyeon930,1685,n2m,1419
tkddn5623,1685,tkddn5623,926
whiteun,1685,whiteun,0
wjsdjqqpxj,1684,datakim,0
yoonjong1820,1684,yoonjong1820,416
ajtwlstmdgks,1683,ajtwlstmdgks,1535
eh2ll,1683,eh2ll,995
jooijin,1683,binaryj,0
jooncco,1683,jooncco,1515
samsohn0128,1683,samsohn0128,1480
swff0718,1683,swff07183,1008
tempo001,1683,tempo001,1606
jng6017,1682,NamGyu,1238
hottinggot,1681,hottinggot,400
solicat3380,1681,Solicat,996
changjurhee,1680,changju.rhee,0
dkwjt001,1680,peaceInM,1232
gon109,1680,gon109m,1245
jinsj1,1680,jinsj1,1119
pine7420,1680,pine7420,1125
shinbian11,1680,SleepingSand,990
yek7334,1680,yek7334,0
dorururu7595,1679,regumember,1423
mathpaul3,1679,mathpaul3,0
dj9136,1678,dj9136,1968
gooderthanu,1678,gooderthanu,438
qkdwlghks00,1678,jihwan0123,997
qkrehddus01,1678,plzfday,1273
rptmffld0204,1678,rptmffld0204,844
zzangu0816,1677,zzangu0816,401
anchor,1676,15631164,1908
lee_tmdgus,1676,carmela.lee,1118
whdtls3878,1676,jjjoonngg,1371
ykm1256,1676,ykm1256,984
duqrldudgns,1675,duqrljyh,619
ilapie,1675,ILAPIE,962
yhkee0404,1675,yhkee0404,1303
hhosu107,1674,CharleSE,1430
solsam10,1674,hyper_CRLyN,1403
yje502,1674,yje502,992
jhpark1109,1673,DeQ,1250
onsemiro,1673,ONSEMIRO,1495
alonso14,1671,4lonso,0
powerwonjun,1671,gaffwc,1190
zvxc222,1671,Yonsei_KKH,0
qkfskan82,1670,qkfskan82,0
red6855,1670,red6855,945
s53809,1670,s53809,1069
sdy1437,1670,sdy1437,407
woojohn77,1670,DolBaKi,0
ahsahs3,1669,ahsahs3,1427
ndb796,1669,ndb796,1614
omjin7n,1669,omjinLTS,867
right5625,1669,right5625,765
samuel95,1669,dkdbckask,2244
viodle238,1669,Kuril,1249
wnsdl1659,1669,isunwoo,1110
protarie,1668,protarie,1460
rlehd1213,1668,shineme,402
drmaemi,1667,DrMaemi,1198
iyh0413,1667,yunhh,1321
junhyub3090,1667,junhyub,1383
kshy9598,1667,kshy9598,1491
cheolyeing_j,1666,cheolyeing_j,0
eden0821,1666,cywin,0
jaehaaheaj,1666,jaehaaheaj,1491
diyung,1665,diyung,0
gaon0628,1665,gaonK,1425
meenyweeny,1665,meenyweeny,0
akhack1231,1664,DKL1231,1209
bcw2104,1664,bcw2104,0
bokdolcpp,1664,EricPark,1258
ishlove7,1664,ishlove77,1607
mojing1597,1664,mojing1597,1287
qazesc2h,1664,9AN9HI9H,1494
qhtjd844,1664,Boseong,1457
jeong3127,1663,jeong3127,0
lucple,1663,LucPle,0
rhdiddl9406,1663,kimtaehan,0
rokso22,1663,rokso,1182
scc9811,1663,Jeon9811,1472
ytlee1201,1663,yuntae,1118
choyungsoo,1662,chochocho,1278
ldh019,1662,ldh010119,1233
meow,1662,4d656f77,0
noru0114,1662,noru0114,1615
okcho9807,1662,Cynki,0
templer151,1662,templer151,948
captain6700,1661,captain6700,465
cocoon,1661,cocoon1787,0
dae9709,1661,dae9709a,0
gse123,1661,gse123,1281
jhy5483,1661,jhy5483,1454
kokos_lury,1661,kokos_lury,1477
scudeto,1661,CRY_,1413
tmdwp0612,1661,seungjezz,1108
gamzagamza,1660,gamzar,1422
hang,1660,hangs,1106
jazzdosa,1660,jazzdosa,1608
luok377,1660,pranne1224,1238
dlwjsgud12,1659,Zagoshipda,1405
gh2630,1659,vvvw,1112
jhyub,1659,jhyub,1198
lucas0730,1659,ramGfire3,1434
pieces98,1659,pieces98,1227
yhnoh8623,1659,NOzeh,1494
corgi_muzi,1658,CorgiMuzi,0
hermit236,1658,lawn,1085
hjh70902000,1658,kind_summer,1284
changjunpyo,1657,gogojun,1215
tjdgus3537,1657,stb,1535
vhxpffltm,1657,vhxpffltm,1432
bds193,1656,MountainBaek,1252
hs6113wj,1656,algo_itso,1271
wnsgml7267,1656,LJH_HJL,824
1ilsang,1655,1ilsang,1399
jamjoa,1655,gyul,1259
lhch2004,1655,Gaji,1367
wjdgus0545,1655,ohsopp,437
zmxncbv777,1655,fusillading,917
amjong,1654,amjong,1356
bedrock17,1654,_cube,1355
csh519,1654,CHUT,1317
osw,1654,osw,1453
gallopsys,1653,gallopsys,0
hoho4190,1653,hoho4190,871
inc5025,1653,kwik,1545
soy4742,1653,soy4742,1674
spongbob9876,1653,McDic,1906
gbs17_byeongha,1652,gbs17_Byeongha,0
goldscream00,1652,goldscream00,633
hbae24,1652,aviation3,419
tjwjdgus12,1652,JJenius,1411
hiasince12,1651,hiasince,1472
sasak2,1651,sasak2,1104
jeymecom,1650,circuit,1489
sso07012,1650,sso07012,0
vladimirgluten,1650,vladimirgluten,1222
woo036325,1650,Soboroo,835
alftjd1,1649,sad_cat_meme,0
aura02,1649,orca_,1441
Conatuseus,1649,Conatuseus,0
ejqmf94,1649,ejqmf94,895
philocsera,1649,philocsera,713
hilimky,1648,hiLimky,1307
onooff,1648,Jeonghunhun,1217
gusdnr9875,1647,gusdnr9875,1457
kangdahyuan,1647,235U,819
didgogns,1646,didgogns,2112
dong149,1646,dong149,0
kyun2da,1646,kyun2da,1312
leejonghun,1646,LeeJongHun,1285
wx776654,1646,776654,389
blucky8649,1645,Green_Juice,636
dhrhd080,1645,driller,0
fisma,1645,FisMA,0
kchung1995,1645,kchung1995,0
kskim,1645,kskim,1426
onechobo,1645,onechobo,0
sofod12,1645,yujinjin,0
songsuheon97,1645,ssheon0812,0
uhi1117,1645,uhi1117,0
reenact,1643,ReenactK,1405
rycbar2592,1643,rycbar2592,0
willook,1643,willook,1535
wnsgus821,1643,retro5pect,1258
kimbz123,1642,kimbz123,0
marona,1642,marona,1356
smdtb1998,1642,smdtb1998,0
sungmin9513,1642,sungmin_99,990
ehdtjskaqhd,1641,undecember,1960
hoijae0194,1641,par3k,0
jigns153,1641,zzangji,1191
mingi1123,1641,mingi1123,849
powerkim417,1641,powerkim417,1466
hgoa2000,1640,LitAcode,789
izone_joyuri,1640,IZONE_joyuri,1367
jintea01,1640,HYU_jintea,1158
percy98,1640,JehunYoo,0
beauboy,1639,blackstar0,933
outersky,1639,outersky,1458
xxnonamexx,1639,xxnonamexx,0
jdyj,1638,jdyj,995
kevin2540,1638,Keper6297,1368
winterlood,1638,Jeong_ranE,1297
kdy030529,1637,chocobear,1569
average10,1636,average10,1204
tmdals5587,1636,TydTyd,857
dct27300923,1635,BWO2,1404
godmoon00,1635,godmoon01,1510
idearendil2018,1635,ReBaPuSa,406
qndnd1,1635,genie97,1223
chhc0505,1634,chhc0505,640
alinghi,1633,alinghi,1116
chjone0417,1633,KHaNaSa,1066
dongwondavid,1633,dongwondavid,1360
epimiral,1633,kukukeke,1149
minseo41,1633,Zeiver,968
qkrqotjd91,1633,Alchem,0
song98987,1633,Sim-Da-song,0
totw2018,1633,JJeongRyu,0
x75201,1633,mamafafa,414
yuris,1633,Yuris,1433
bean0234,1632,myuni,1054
cocobino,1632,cocobino,1370
cop_ghost,1632,cop_ghost,768
maple123,1632,neweight-gs21107,1465
tearsmore,1632,jaehyeon0832,0
usb9245,1632,usb9245,0
ayt0913,1631,yutae,0
isekaijoucho,1631,Isekaijoucho,1174
k_blomkv,1631,proff_KOR,0
pyoun820,1631,Ja0Ja0,1024
fanjae,1630,fanjae,1408
silverysky,1630,pullup-dip-burpee,1147
walker123,1630,walker123,0
xptmxmtest,1630,chanhuicom,396
rty3394,1629,parksw,1127
vionicbest,1629,vionicbest,1507
woo9901,1629,thsrhwk01,1406
akinakamori,1628,yeeun,0
csehyoung,1628,Csehyoung,1261
haelime,1628,haelime,0
wooyoo,1628,wooyoo,1487
borissal07,1627,mn41,1657
janghoonp12,1627,janghoonp12,1203
jeong5728,1627,j_ghy_,1221
simsan00,1627,Cesium55,367
adgdsda,1626,TaStaR,1444
archane5276,1626,Busan2Line,1366
cbj2741,1626,cbj2540,1428
mark0719,1626,mark77,1517
p106305,1626,p106305,0
hs980414,1624,hyes5,0
lhs456852,1624,baekdu,1396
pjh332,1624,JHyun,1304
rlatjwls3333,1624,rlatjwls7882,1076
shkim050202,1624,gs21016,1235
alanturing,1623,sonsh,0
yunsubaek,1623,yunsubaek,1268
craclog,1622,yoongod,1506
knu_k,1622,knu_k,423
kosnoa,1622,dareharu,359
lys7442,1622,lys7442,424
mychan0926,1622,mychan0926,896
qweasfjbv,1622,qweasfjbv,830
20183016,1621,20183016,1253
kyr9389,1621,usage,1417
minjunnick,1621,minjunnick,0
tjsrb7575,1621,LEDPEAR,1121
jih7368,1620,InhyeokJeong,1095
rlapo,1620,rlapo,732
sss02030,1620,soft_S,1423
eotkd4791,1619,eotkd4791,1110
hosung94,1619,hosung.kim,0
minjaechoi,1619,minjae.choi,0
ajw998,1618,starfennec,1554
chojl1125,1618,chojl1125,1419
daersh,1618,32173594,806
hanking302,1618,KOR_hanS,0
fjvbn2003,1617,fjvbn2003,1111
geniemo,1617,Geniemo,0
nsjpys,1617,nsjpys,1500
connor101,1616,taeUnicef,1324
dlgksrlf,1616,hangil,0
presentsong,1616,presentsong,0
uyk0329,1616,uyk0329,1237
k5nen,1615,rkn04,1896
redoc,1615,redocmath,0
romanticist,1615,romanticist,1376
ryujin0402,1615,jinhyeok,910
aahcbird,1614,aahcbird,1909
black_hand,1614,G1rmmr,651
lukek1101,1614,lukek1101,746
phg0324,1614,phg0324,645
quizoverflow,1614,quizoverflow,1032
sb9338,1614,binbean,0
Stoads,1614,Stoads,0
xorms86,1614,buuuuu_ruim,837
ybc125,1614,ybc125,829
gun2841,1613,guno,0
nwc1718,1613,Nyandok,1216
ppp123,1613,bambbam,1614
chysis,1612,chysis,643
harry2636,1612,Burst,1670
jhk8169,1612,jhk8169,1197
minjoonist,1612,nFlamel,928
songjuh,1612,wovvWoWvvow,1922
st0,1612,st0,0
mh991221,1611,mh991221,0
djw0409,1610,dandb,1326
fuck5203,1610,ssakimo,1424
ksy13001,1610,lean1,986
syphon,1610,syphon,1858
gorani9,1609,Goniieee,1097
hishine6,1609,Telomere37,1072
jihoo,1609,JIHOO,0
kimziou77,1609,kimziou77,1409
rhkswls98,1609,hankwanjin,0
ckdduf138,1608,leecy0131,843
eodnjs0903,1608,chickenPizzaTangsoo,1300
hlee118,1608,hlee118,1386
sminggo5,1608,sminggo5,1240
vidigummy,1608,vidigummy,0
c10ud,1607,b1ur,974
guswnddl05,1607,iris-_-,1005
ohksj77,1607,ohksj77,0
sierra_9707,1607,sierra_9707,733
head022,1606,CuFeH,0
kdwtom,1606,kdwtom,480
algorian,1605,algoristj,0
hopeace6,1605,hopeace6,398
iqeq1989,1605,iqeq1945,0
seongbeen93,1605,seongbeen93,0
seunghw2,1605,seunghw2,400
taeyun149,1605,taeyun149,1449
uptoss12,1605,weonwon123,1244
cam0606,1604,ddakjaaaaaaae,1228
magpies1221,1604,magpies,0
minjae705,1604,crown_sando,761
ghwns9652,1603,1step,0
kb28,1603,delphox60,0
vecum0814,1603,vecum0814,1381
wjdtmddnr24,1603,cindyjack369,0
changas05,1602,0_seob_,1014
cieske,1602,cieske,1438
fercury,1602,Fercury,1419
HowlingOfSouL,1602,HowlingOfSouL,1649
lime_lemonade,1602,saetakki,370
s122s122,1602,hihellohellohi,731
sky_yoon1,1602,sky_yoon1,1028
audwns0820,1601,se4weed,1128
planaria,1601,tadigrada,1228
ruddlf5113,1601,MAdKk,0
auaicn,1600,auaicn,1481
bengaleehs,1600,BengaleeHS,1223
ehdghks12,1600,TTobe,359
yup822,1600,yup822,393
blvdjm,1599,blvdjm,1284
qse1346,1599,vidm,1407
dkscltks,1598,dkscltks,1092
harryhajinchung,1598,hajinDvlp,1300
ohhamma,1598,ohhamma,1089
poma,1598,wrong_answer,1637
kisrin4319,1597,Aspirins,1399
park345601,1597,suri78,1049
alsyd024,1596,alsyd0348,1351
gj3034,1596,Dasiscore,0
gmasi112,1596,retRet,1362
kimug2145,1596,YuSeungJae,0
sea5812,1596,lsmtreee,1190
cyp0922,1595,cyp0922,0
gomamon,1595,gomamon,1166
san9640,1595,san9640,0
kimhj4485,1594,KHJcode,0
haptic12,1593,taejjeon,1276
iamtrueline,1593,iamtrueline,1051
algorithm_beginner,1592,winter94,1024
poding84,1592,sugu,0
hiimin,1591,hiimin,0
jkd4242,1590,KData,0
llllilll,1589,Kowaine,1481
lomotos10,1589,lomotos10,1856
protoseo,1589,ProtoSeo,0
y123on,1589,Solarday,1839
hsu2016,1588,hsu_2016,1008
rkarud1234,1588,kkap999,1107
soyalan,1588,soyalan,1413
normit,1587,normit,1992
snailgod86,1587,emacser,1400
sarna,1586,galaxyDriver,0
taeyangkim,1586,k5888200,2245
wndyd9557,1585,wndyd9557,1445
gkscodus11,1583,chaeyeon_,1186
pf7,1583,FFFFFUNKYMUZIK,0
river1345,1583,river1345,0
uaudgml98,1583,jomyounghee32,861
chungdk1993,1582,Charm_Dom,1092
soo0103,1582,junsu,1332
aasr4r4,1581,lumiknit,0
dydwo0740,1581,wantu,1329
nns503,1580,nas503,0
jaemin8852,1579,Jubil,1435
rlarudgh2017,1579,RlaVonRudgh,740
igocst,1578,Igoc,0
junesup1212,1578,KKhajiit,791
akswocho,1577,ethancho,1471
bueno,1577,bueno,1350
choo5145,1577,hyeonjin,913
qo_op,1577,Checkpoint_,657
dhoh33,1576,soosungp33,1219
haung921209,1576,Agari,1405
poirin,1576,poirin,1697
emphasis10,1574,emphasis10,1431
khji1210,1574,wkqkdhkd,1428
kimjerry,1573,oslo,708
canbe159,1572,geumbi,0
rose0310,1572,rose0310,1430
jakads,1570,Jakads,793
wptjd6141,1570,wptjd6141,1428
iori03,1569,devori,0
trimind,1569,trimind,1420
juneh0324,1568,juneh0324,1182
lyrics0511,1568,yelly,0
dddddd6,1567,byurak,2104
dksdmssh1212,1567,EunnoAn,851
hyj2508,1567,hyj2508,1274
chjh2129,1566,chjh2129,1089
raiders032,1566,raiders032,0
chayhyeon,1565,chayhyeon,1456
hhj227,1565,hhj227,1302
ideo,1565,as950118,980
irnd04,1565,irnd04,0
jdhqpt,1565,jdhqpt12,0
sung1104hyun,1565,sung1104hyun,1461
harry0558,1564,sehyun_0x1D,1018
l412206,1564,RememberIOm,0
sch20184011,1564,ldw2614,1404
tnsnz,1564,tnsnz,1290
heyum127,1563,BLACKAURA,0
melthleeth,1563,Leeth,0
bokang,1562,bkaaang,370
hk1554,1562,kimyunseok,846
qkrtjdrb9573,1562,roistimme,1327
reserch112,1562,Reserch_iceberg,0
sorious77,1562,sorious,0
cyan4s,1561,CYAN4S,1377
ebseud6135,1561,DunDung2,1202
hpk23,1561,hpk23,1234
topgun,1561,TopGun20,0
bbwwpark,1560,jujubebat,0
dhrdlxl,1560,sexydog,1238
anirun,1559,liebigbear,1053
semtax,1559,semtax,1321
tjdls111,1559,dalin,0
zezs3535,1559,zezs3535,1337
bcy1235,1558,bcy1235,746
clownpiece,1558,Pache,1199
jaeworld2002,1558,jaeworld,1256
joon0830,1558,joon0830,0
jsungmin6,1558,jsungmin6,387
sally2596,1558,sally2596,405
hski0939,1557,turkey_han,743
rmagur1203,1557,rmagur1203,0
wsup97,1557,kkkrong,0
jerry020822,1555,miamdaegun,681
quimi0322,1555,quimi0322,757
qwerty97532,1555,yupyeop,786
indexerror,1554,indexerror,728
lcj207,1554,ramanuzan,611
0708jyc,1553,jy0708,0
inseul,1553,inseul,352
keykat,1553,keykat,1288
koreakkrea12,1552,whitecloud,0
rlarlvy153,1552,rlarlvy153,0
dgymjol,1551,dgymjol,0
eat333,1549,Jordano_Jackson,382
m2002c,1549,m2002c,0
ssung,1549,ssung_,0
lmn1349,1548,hotmandu,1479
spin2790,1548,TomaTo987,982
2005rladudwo,1547,KYJ2468,684
fldj2855,1546,fldj2855,1343
hotspring,1546,hotspring,1091
maxcruickshanks,1546,maxcruickshanks,2022
smbyun0214,1546,smbyun0214,1464
umc1997,1546,umc1997,0
khj0426,1545,gimhyojung688,628
kiles1201,1545,kiles1201,1093
zoox2,1545,zooputer,784
joung45387,1543,joung45387,0
khanjhy,1543,khanjhy,0
kaya25,1542,kaya25,0
cjy11230,1541,jy._.1107,963
slanjdu,1541,colin_chungwan_hong,1341
wonjun3529,1541,OddEven,0
han_hei,1540,hanhei,0
limhaksu,1540,Neroren,1361
ljw538,1540,ljw538,870
sunjbs98,1540,Dochi3,1675
wnsfuf0121,1540,JunRyeol,1368
myu1231,1539,thirdsense,0
2147483647,1538,9223372036854775807,1627
lee040118,1538,lee040118,1303
lloydkwak,1538,lloydkwak,967
pyh,1538,pyh,0
baserpong,1537,serpong,1136
berkleeboston,1536,AmericanTopCoder,0
mhyeon0710,1536,skyiri,968
mirusu400,1536,mirusu400,1310
qkrwldnjs89,1535,GenieWonimanimo,0
takedown2,1535,Busan_Gukbap,1053
suminig,1534,suminig,0
heeboy007,1533,heeboy007,1143
dongdhy,1532,aroundthistime,0
namgoi,1532,namgoi,1282
obo314,1532,happyOBO,623
shs0985,1532,Iello,0
zhh1020,1532,zhh1020,1293
dfdo333,1531,dfdo333,0
vfjdg12,1531,vfjdg12,0
yuanie,1531,yuanie,673
sunghwan19,1530,sunghwan19,1334
wjy,1530,wonjwi,739
yujinmon,1530,Trixie_,865
dec0dedd,1529,dec0dedd,1851
kjm2149,1529,jinmyung,0
hepheir,1528,Hepheir,0
jae_woong99,1528,jaeung,0
phryxia,1528,lib.iidentity,1375
skepo,1528,hayyee,1422
7mercenary,1527,Hide_In_Java,864
include42,1527,include42,1437
kyoowon95,1527,kyoowon95,417
ajw4586,1526,ahnjaewook,646
cwyoo01,1526,CWYOO,0
develop_hariff,1526,Develop_HARIFF,1542
hajacokr,1526,hajacokr,617
minwoogood1597,1526,minwoogood1597,0
Viento,1526,Viento,0
didi0410,1525,didi0410,1033
dmstjr0207,1524,Ugongjae,1370
jhs7jhs,1524,HS_Jeong,1958
prime73,1524,YummyCocopalm,1485
kmusam,1523,kmusam,0
sidz0520,1523,RulLu,1415
vumbumy,1523,vumbumy,1212
b2narae,1521,b2narae,1374
gbs04087,1521,gbs04087,0
hsn1612,1521,pyapya99,1371
huisam,1521,huisam,1291
sayakamiru,1521,sayaKamiru,1629
zsr123,1521,zsr12383,1208
suby00,1519,suby,0
crescmoon,1518,crescmoon,1702
jongeunshin95,1518,jongeunshin95,0
hunihun956,1517,hunihun956,1391
starjrm00,1517,kube,1629
sunio00000,1517,sunio00000,1296
dskym,1516,dskym,1418
lyh990517,1515,lyh990517,0
nbsp1221,1515,nbsp1221,1366
km7865,1514,dongwonn,0
ksme456,1514,sang_G,1432
mindeulle,1514,mindeulle,380
qmamsm123,1514,taejeong,904
ac259bj,1513,Hots_Chef,1335
fresmic,1512,fresmic,1563
kimchangyoung,1512,kimchangyoung,1421
taeyeon_ss,1512,taeyeon_ss,2405
watermelon,1512,ZiJohnCena,1164
yyj8771,1511,yyjun,968
kimwooa23,1510,hoovely0805,0
kid7ho,1509,Kid7ho,0
tigersugar,1509,tigersugar,0
tmdghks,1509,tmdghks,0
jsho1029,1508,junseoho1029,0
nulut,1508,emiming,0
seecimi,1508,seecimi,1385
wnsdyd0807,1508,Praseodymium,0
azaraks,1507,azaraks,1228
etaehyun4,1507,etaehyun4,1996
lisiant01,1507,Lisiant,0
acm2209,1505,acm2209,1268
dbstnsdl12,1505,anthonymyk,1402
junhg0211,1505,junhg0211,472
tiger1710,1505,tiger1710,1256
1119wj,1504,tqqqSoxl,0
jack100,1504,jade100,1464
jun2077681,1504,Hasu,701
tldn051008,1504,shoop051008,500
cheeselove,1503,ijklmnopqrstu,1293
tankgewehr,1503,tankgewehr,1031
just_junyan,1502,nawaraing,1405
lumicode,1502,lumicode,393
sukwon0709,1502,sukwon0709,372
wmf2fkrh,1502,wmf2fkrh0,0
vegatrash,1501,vegatrash,1363
chocokart2,1500,chocokart2,0
hyuckang,1500,hyuckang,0
khs37,1500,khs3737,1310
moralbook,1500,moralbook,1075
sat0317,1500,quation,386
pjump,1499,pjump,0
rjsgh7943,1499,gpgun,430
134ean,1498,JUneS2,829
nparadise,1498,nparadise,1209
wjdrldyd0213,1498,TwaveWwvwW,0
cu29,1497,atomicnum29,865
skkim0832,1497,skkim0832,0
starseed13,1497,jolja,1290
sctm1219,1496,sctm1219,0
hw2006,1495,hw2006,1073
usuhan09,1495,238U,0
junu0124,1494,junu,428
milchstra3e,1494,milchstra3e,1652
combbm,1493,SkyLightQP,1030
idk0919,1493,idk0919,0
inspire12,1493,inspire12_ant,1435
ljwh1231,1493,hyun0603,1275
jueun036,1492,jueun036,1180
