boj,rating1,cp,rating2
jhlee1234,2019,jhlee1234,81
define_chan,2018,defineChan,626
midori,2015,icansolvethat,13
asp1939,2013,asp345,333
bbangso0322,2013,bbangso0322,357
ez_code,2011,ez_code,1110
greydra_k,2008,greydra_k,385
atrux,2007,atrux,721
83tachyon,2006,tachyon83,706
k_san,2003,ksan205,485
eunsoo0607,2002,eunsoo0607,1513
anzanda,2000,anzanda,583
0rch1d,1995,iam0rch1d,585
31n5ang,1986,songminsang,504
ksmzzang2003,1979,SoominKim,407
jiyoz,1977,jiyoz,105
vladithur,1977,Vladithur,2043
yjinpark,1977,yjin,784
convert7342,1972,Evaporation,766
we12223,1966,we12223,826
hiyabye,1965,Hiyabye,667
johoon4687,1965,johoonday,281
kdg870918,1965,kdg870918,1004
gyeongmin,1963,gyeongminn,136
n7484443,1961,n7484443,272
gbe0808,1958,define_chan,915
j2ssicaalt,1957,YunjunDique3cm,254
brownmole01,1953,brownmole01,940
easteregg423,1953,AnonymousBlueCat,64
oldos,1952,oldos,1602
o98123,1949,circle1018,3
zihasoo,1946,zihasoo,487
gyuho965,1941,gyuho965,1151
dlehgns011,1940,leedohun,668
kangkh0906,1938,nageune,73
mujigae,1936,mujigae,931
peisea0830,1936,peisea0830,868
chorogchip,1934,chorogchip,124
qwerty_po,1934,qwerty_,89
fashion,1932,Fashion,401
dddddd1234,1931,dddddda1b2,69
maiego,1928,maiego,405
mangoqwq,1928,Mango,2182
seonghwan7694,1926,seonghwan7694,71
zanite,1924,Zanite,2226
tkdwo7699,1922,sj7699,614
kaname_madoka,1921,MagicaQuartet,749
trolgod0914,1920,trolgod0914,343
haru_101,1919,Haru_101,448
jun2korea,1914,mintropy,292
youngseo321,1911,youngmon,104
iseol421,1908,iseol,628
dkbkjn,1906,dkatcdr,627
dipper1002,1905,dipper1002,781
rose0122,1900,rose0122,108
sungjune222,1899,sungjune222,1153
a891,1894,a891,618
dd2dd2,1891,Dd2dD2,1445
taeyang95,1891,TaeyanG4,40
xloolx03,1879,NOKOMIZ,439
ksm010825,1876,ksm010825,292
derpwaffle21,1875,derpwaffle21,1238
seokjeongeum,1874,seokjeongeum,1175
adxx,1873,BueVonHun,357
ddmanager,1870,DDManager,521
jhp98,1869,jhp98,576
sanguineman,1860,sanguineman,575
cmgjol010,1858,Firo_SF,339
alswnssl0528,1857,sadspring,923
ansrl,1852,ansrl,607
bvba,1852,bvba,22
chickenchickenlove,1848,chickenlove,20
dlghckd,1846,dlghckd,37
jang010505,1841,hg_yellow,68
potatomonkey,1841,potatomonkey,72
wj6349,1839,wj6349,634
shn,1838,seung_hoon,59
plan222,1837,plan222,1023
alsrb0504,1832,alsrb0504,521
sparkjy18,1829,sparkjy18,598
yoongh97,1829,yoongh97,2
okmy729,1828,midnight_sun,546
odongg,1823,fepick,876
sjsjsj1246,1822,sjsjsj1246,237
pridom1118,1821,pridom1118,187
holmes16,1818,holmes16,20
leeminjae,1818,lmj040828,100
psg9790,1817,psg9790,433
raydrakal,1816,ray_drakal,74
copyrat90,1814,copyrat90,527
jun990111,1814,shape_of_june,2
loveyourself,1814,loveyou,2
sjlee0218,1808,winjun,1235
choko100,1806,choko100,698
sagit25,1805,SOOBIN,2
cherub8128,1803,cherub8128,11
jhhan11,1801,jhhan11,77
romad0623,1801,Romad,906
cod3holic,1797,phfe1539,254
motsuni04,1796,motsuni04,962
foreverfl,1794,foreverfl,60
herring,1794,hyerinlee,365
djson,1788,djson,304
morer,1785,morer,2
kds0034,1784,Vardy,459
shs0911,1784,serenhade00,454
smk6221,1782,goooose,424
powwow101,1779,LuneL,799
fs_edge,1778,fs_edge,535
miny0410,1778,Mins,882
tnemed,1776,Acil,514
halang,1772,halang,81
muzigae,1772,mujigae,931
jine2669,1770,Rurril,531
hun0108,1768,rlaehgnss,65
cjh970422,1764,cjh970422,68
zoflqldks123,1762,zoflqldks123,55
kjw3981,1760,kjw3981,1035
tph01198,1760,fiveIsDoor,702
awayfromkeyboard,1759,awayfromkeyboard,853
boreng0817,1759,boreng,818
mummyee,1756,mummy,127
taerim0,1754,rim0,43
dndkwk,1745,dndkwk,178
hdm0922,1743,hdm0922,617
arduinocc04,1742,arduinocc04,551
usj08,1742,usj08,306
yymin1022,1733,yymin1022,158
chemoon100,1731,ps_dream_tree,298
fbfbf1,1730,s_ryuri,478
emuyumi,1726,Mango,2182
lmklove0,1721,kaki13,711
ghssh1,1718,ghssh,36
kyw6541,1716,ASPrime,135
danp,1713,danp,410
doxxx93,1707,doxxx93,33
zeikar,1706,zeikar,1030
applebuddy,1705,applebuddy,49
frtfrt1,1703,frtfrt1,271
helloworld123,1702,helloworld1234,146
jekwan,1701,jekwan,220
flinter,1700,flinter,26
seonjin6804,1695,Deopoler,547
rhks7410dyd,1693,Minpepha,12
hp3265,1687,YSY2,51
kimmulgae,1687,kimmulgae,2
tjddlf,1687,Yujin01,110
solicat3380,1681,Solicat,48
shinbian11,1680,mixcoffee,353
kpark1003,1678,x0133,475
qkrehddus01,1678,plzfday,33
